0	0	0	0	0	0	0	0	0
0.01	3.71990414572796e-08	2.35038455879744e-10	6.83070789811103e-12	1.6072189118596e-13	1.85995207286398	0.0575844216905372	0.00133198804013165	1.57507453362241e-05
0.02	1.57570815748971e-07	1.76565363653841e-09	7.39927106543449e-11	2.28365935185672e-12	7.87854078744855	0.43258514095191	0.0144285785775973	0.000223798616481959
0.03	3.16020027314594e-07	6.52701853149695e-09	3.98380199837337e-10	1.61988699966939e-11	15.8010013657297	1.59911954021675	0.0776841389682806	0.001587489259676
0.04	-5.29152574984908e-07	1.01089299950552e-08	1.2598739890284e-09	7.28104238510011e-11	-26.4576287492454	2.47668784878854	0.245675427860538	0.0071354215373981
0.05	-4.01290748156982e-06	-1.74684793296533e-08	1.94750898121472e-09	2.16241906839781e-10	-200.645374078491	-4.27977743576506	0.37976425133687	0.0211917068702985
0.06	-1.04712744381712e-05	-1.46302317747709e-07	-2.506145292556e-09	3.61158048235935e-10	-523.563721908562	-35.8440678481888	-0.48869833204842	0.0353934887271217
0.07	-1.83476730363181e-05	-4.71591245788408e-07	-2.6740339486008e-08	-2.23182514549685e-10	-917.383651815907	-115.53985521816	-5.21436619977156	-0.0218718864258691
0.08	-2.5913480644887e-05	-1.0726209539235e-06	-1.00213242048093e-07	-4.09666310141098e-09	-1295.67403224435	-262.792133711257	-19.5415821993781	-0.401472983938276
0.09	-3.22485873528136e-05	-1.97471584543096e-06	-2.68341510968381e-07	-1.76504473457006e-08	-1612.42936764068	-483.805382130586	-52.3265946388343	-1.72974383987866
0.1	-3.71396910383972e-05	-3.13457602335033e-06	-5.87019108077919e-07	-5.37042613930327e-08	-1856.98455191986	-767.971125720831	-114.468726075194	-5.26301761651721
0.11	-4.08346733492706e-05	-4.45080318203677e-06	-1.11068456713366e-06	-1.33999078156651e-07	-2041.73366746353	-1090.44677959901	-216.583490591064	-13.1319096593518
0.12	-4.17149587014191e-05	-5.77870548799798e-06	-1.87651580180071e-06	-2.90517121918304e-07	-2085.74793507095	-1415.78284455951	-365.920581351138	-28.4706779479938
0.13	-3.78102553065184e-05	-6.93254902830021e-06	-2.88791464791444e-06	-5.6446068405105e-07	-1890.51276532592	-1698.47451193355	-563.143356343316	-55.3171470370029
0.14	-2.98660453903286e-05	-7.70069548341156e-06	-4.10025586949403e-06	-1.00193542694786e-06	-1493.30226951643	-1886.67039343583	-799.549894551337	-98.1896718408905
0.15	-2.04890474127765e-05	-7.89763908591141e-06	-5.41281483426995e-06	-1.64590949944757e-06	-1024.45237063882	-1934.9215760483	-1055.49889268264	-161.299130945861
0.16	-1.2497943889425e-05	-7.43301022017751e-06	-6.67196980886765e-06	-2.52486274149275e-06	-624.897194471249	-1821.08750394349	-1301.03411272919	-247.43654866629
0.17	-6.54629959187434e-06	-6.35206285977258e-06	-7.68940112934354e-06	-3.63963958335811e-06	-327.314979593717	-1556.25540064428	-1499.43322022199	-356.684679169095
0.18	-1.85401856306317e-06	-4.82017175817975e-06	-8.27418212941271e-06	-4.95112497992899e-06	-92.7009281531586	-1180.94208075404	-1613.46551523548	-485.210248033041
0.19	-7.38147124343508e-08	-3.08228705654644e-06	-8.27228790457066e-06	-6.37206696183439e-06	-3.69073562171754	-755.160328853877	-1613.09614139128	-624.46256225977
0.2	-4.32360990741868e-06	-1.44038210773191e-06	-7.6050347477195e-06	-7.76632860477523e-06	-216.180495370934	-352.893616394319	-1482.9817758053	-761.100203267973
0.21	-1.31107709785303e-05	-2.19054731968179e-07	-6.2987040801931e-06	-8.95797133989454e-06	-655.538548926513	-53.6684093322037	-1228.24729563765	-877.881191309665
0.22	-2.02305259070306e-05	3.33060777623374e-07	-4.49725514376059e-06	-9.75094009545582e-06	-1011.52629535153	81.5998905177265	-876.964753033315	-955.59212935467
0.23	-2.29296021567303e-05	1.53848194351106e-07	-2.44965164644085e-06	-9.95788498517668e-06	-1146.48010783652	37.6928076160211	-477.682071055965	-975.872728547314
0.24	-2.23580040160038e-05	-6.076254153378e-07	-4.68415096524549e-07	-9.43412551706266e-06	-1117.90020080019	-148.868226757761	-91.3409438222871	-924.544300672141
0.25	-1.78653748472897e-05	-1.6438260544897e-06	1.13401695077605e-06	-8.11057765083248e-06	-893.268742364486	-402.737383349976	221.133305401329	-794.836609781583
0.26	-7.63476619387298e-06	-2.55438304257723e-06	2.11685453310579e-06	-6.01839357381866e-06	-381.738309693649	-625.823845431423	412.786633955628	-589.802570234228
0.27	6.70608470105145e-06	-2.92558289573344e-06	2.37377068239428e-06	-3.29861855178289e-06	335.304235052572	-716.767809454692	462.885283066884	-323.264618074723
0.28	1.98418912506871e-05	-2.45209504267409e-06	1.97051301837922e-06	-1.9243261506534e-07	992.094562534355	-600.763285455151	384.250038583948	-18.8583962764034
0.29	2.80110643556811e-05	-1.0592318305188e-06	1.14342153038774e-06	2.98875769809401e-06	1400.55321778405	-259.511798477105	222.967198425609	292.898254413213
