time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
0.31,-0.06744016300124463,-1.3049596633001308e-05,-1.006297187635862e-06,-2.3382371801312292e-06,-2.1640591775322685e-06,6.781340130076388e-06,40.6982913906915
0.32,-0.042490146258868725,-1.503740308441556e-06,-2.670285779519181e-07,-2.2481945002841324e-06,-2.1625785370942907e-06,1.5336345506747673e-05,92.02786490661427
0.33,0.045324293629683925,1.2779400721365438e-05,6.617072791249812e-07,-2.092702533582566e-06,-2.1514760361148174e-06,2.5676297367426086e-05,154.0660219983439
0.34,0.03279846298671351,2.5099326905961148e-05,1.4960631883402328e-06,-1.864158129679798e-06,-2.1308684981318844e-06,3.409559528805837e-05,204.57957773215554
0.35000000000000003,0.02676201666656137,3.404660009163796e-05,2.148424298594907e-06,-1.5633539362051648e-06,-2.0967570656453756e-06,3.948867222335824e-05,236.93612109549562
0.36,0.025638968416929385,4.0275199842121085e-05,2.65300988478445e-06,-1.1986645394785502e-06,-2.041668306640415e-06,4.238956250292534e-05,254.34027295119535
0.37,0.03755294849034313,4.370511921061388e-05,2.996158916097096e-06,-7.844349928007449e-07,-1.9558063756454187e-06,4.2783816039070525e-05,256.70562809485455
0.38,0.07495095103012997,4.284533875815003e-05,3.0752233468808893e-06,-3.409981658931135e-07,-1.8277279924450652e-06,3.958194887939627e-05,237.494425136809
0.39,-0.0036240742224272027,3.750357262240206e-05,2.8644804658833567e-06,1.0587145241658111e-07,-1.6453637383838638e-06,3.273361517470419e-05,196.4044229086565
0.4,-0.12170868063760024,3.36270164438146e-05,2.714356831323578e-06,5.3183463907525e-07,-1.39947327940315e-06,2.697883095623016e-05,161.8757175978123
0.41000000000000003,-0.1128628782987219,3.884461016952653e-05,3.085569203646892e-06,9.25683661588924e-07,-1.0886150479514364e-06,2.832311402730276e-05,169.94116847598224
0.42,-0.01092054101250308,5.308447903700807e-05,3.978657872183445e-06,1.2935570068466508e-06,-7.206083363619002e-07,3.6698695483402565e-05,220.1920792149173
0.43,0.043947877761702295,6.962475004321025e-05,4.993772030468686e-06,1.6509269366382195e-06,-3.0877493992881414e-07,4.681542354536912e-05,280.8873818521458
0.44,0.11383569095469452,8.140544234515672e-05,5.709465237804271e-06,2.0106391212974e-06,1.3344005880588518e-07,5.3132682440689516e-05,318.78685962232953
0.45,0.0330979425199487,8.556773999933728e-05,5.955857146383853e-06,2.375789839753751e-06,5.957429228408781e-07,5.342913632701475e-05,320.56538628531564
0.46,-0.022808787662448433,8.578760680598114e-05,5.957974257923407e-06,2.7417586436926525e-06,1.070436040480423e-06,5.06149986144338e-05,303.6805600098299
0.47000000000000003,-0.03521190111257827,8.716888184743976e-05,6.02788607765454e-06,3.103616511993612e-06,1.549686843681187e-06,4.8716599887454136e-05,292.29016764795193
0.48,-0.048981513889854125,9.204589095085064e-05,6.311017941986523e-06,3.4609964410822487e-06,2.0238894108860237e-06,4.958063729261338e-05,297.4739033267517
0.49,0.010765099234905012,9.989405991430906e-05,6.780531959666439e-06,3.818051404626457e-06,2.4820812725933027e-06,5.280366722151874e-05,316.81002535294675
0.5,-0.011392469190869404,0.00010859856175835331,7.312979407716655e-06,4.180307144779549e-06,2.913623612190825e-06,5.673368516548001e-05,340.38723754424984
0.51,0.022034578528060855,0.00011691795865720679,7.836963791979072e-06,4.5516472315649605e-06,3.309768068373709e-06,6.040379392630292e-05,362.40482411790276
0.52,0.004494201098047144,0.00012415849166515187,8.312415650768023e-06,4.932848492187564e-06,3.6644858244273405e-06,6.328339178257333e-05,379.67976866890103
0.53,-0.05760493780049406,0.0001319016995428094,8.83646611888987e-06,5.322534599826455e-06,3.974220337673333e-06,6.662210373980662e-05,399.7086451101288
0.54,0.07346470947239404,0.0001404035446126863,9.424455175239883e-06,5.718652974997498e-06,4.237345783932967e-06,7.063391044967304e-05,423.77490057632144
0.55,0.018013793089505375,0.00014604530927399314,9.852944343465889e-06,6.115614382793959e-06,4.455194183115861e-06,7.251979880024058e-05,435.08795212424775
0.56,-0.03158244716674775,0.0001495648805834346,1.0161420970838316e-05,6.502959479156765e-06,4.632302344922741e-06,7.289682252173044e-05,437.34962428772377
0.5700000000000001,-0.034539807557445304,0.0001549020849951606,1.0584584719908926e-05,6.870515705112057e-06,4.774038772732503e-06,7.487718388324805e-05,449.22924121634435
0.58,-0.07102474459979405,0.0001643514549641209,1.1259291864807623e-05,7.213521628355177e-06,4.884336300558929e-06,8.026571570672268e-05,481.55248168118874
0.59,-0.01977526823813345,0.0001785220513868674,1.2222981688460376e-05,7.534243990243509e-06,4.964978854657924e-06,8.95221150667649e-05,537.0739062877158
0.6,0.022488384228050114,0.00019470170470035732,1.3312552955264153e-05,7.839469696263136e-06,5.016644861212805e-06,0.00010049450165449297,602.8828854352532
0.61,0.06995202279490274,0.0002083128133008824,1.425002931954278e-05,8.13432548323306e-06,5.041373986284687e-06,0.0001095801896602645,657.3720656979324
0.62,0.04745684573638024,0.00021650083985302236,1.4858921751685012e-05,8.417130332397543e-06,5.044448266882831e-06,0.00011454703858954698,687.1582475169575
0.63,0.02825445606231955,0.00021970109729293536,1.5159708957333901e-05,8.679046257337534e-06,5.03416622379237e-06,0.00011575858011446566,694.4237655049894
