time_s,u_iso_1_m,f_iso_1_N,u_iso_2_m,f_iso_2_N,u_iso_3_m,f_iso_3_N
0.22,-3.192539288992093e-05,-63.8478617835147,-3.4146319056009146e-05,-68.28923901510318,-3.1925392889920925e-05,-63.847861783514695
0.23,-3.488482559305252e-05,-69.76645350334599,-3.716351635333297e-05,-74.32331694101222,-3.4884825593052514e-05,-69.76645350334597
0.24,-3.5523078087547176e-05,-71.0428972875535,-3.781638251052683e-05,-75.62897830547581,-3.5523078087547176e-05,-71.0428972875535
0.25,-3.3250027511795015e-05,-66.49679613604917,-3.54973289829439e-05,-70.99087125030995,-3.325002751179442e-05,-66.49679613604798
0.26,-2.652862026081305e-05,-53.05398163408525,-2.8613842720339555e-05,-57.22389872510125,-2.652862026081297e-05,-53.05398163408508
0.27,-1.6459913253170847e-05,-32.91656761880084,-1.8286469289022845e-05,-36.56915186246784,-1.6459913253172744e-05,-32.91656761880463
0.28,-7.015989867152358e-06,-14.028720846763859,-8.594905117434039e-06,-17.18602351929022,-7.015989867154303e-06,-14.028720846767749
0.29,-1.0447260111921765e-06,-2.0861931348434957,-2.4642038634132803e-06,-4.924621011248706,-1.044726011193165e-06,-2.0861931348454723
0.3,2.4293338035526124e-06,4.861924934238622,1.1176334206474976e-06,2.239053215628406,2.42933380355212e-06,4.861924934237637
0.31,7.159221160394758e-06,14.321681214637707,6.025578069439733e-06,12.054928961416257,7.159221160394673e-06,14.321681214637534
0.32,1.5603271161722185e-05,31.20962494355053,1.4802494196798666e-05,29.608615019513245,1.5603271161722172e-05,31.2096249435505
0.33,2.579794188596377e-05,51.59845068577617,2.543300833035073e-05,50.86912062679156,2.5797941885963765e-05,51.59845068577617
0.34,3.4073950340641465e-05,68.14973729037274,3.413888518289217e-05,68.28010315141005,3.4073950340641465e-05,68.14973729037274
0.35000000000000003,3.933760391925882e-05,78.6764253903106,3.979080883155711e-05,79.58327031487445,3.933760391925881e-05,78.67642539031058
0.36,4.212003451585098e-05,84.24091141659706,4.292861847707406e-05,85.85845011800124,4.2120034515850976e-05,84.24091141659704
0.37,4.2411213671360733e-05,84.82322992203926,4.352902077449011e-05,87.05916825077601,4.2411213671360733e-05,84.82322992203926
0.38,3.913879815096266e-05,78.2783988812431,4.0468250336263505e-05,80.93762737432279,3.9138798150962664e-05,78.2783988812431
0.39,3.2260273444693733e-05,64.52134946870525,3.368029863472518e-05,67.36172397124615,3.226027344469366e-05,64.52134946870511
0.4,2.6473492953739235e-05,52.947788486796256,2.7989506961212704e-05,55.98014062422119,2.6473492953738534e-05,52.94778848679485
0.41000000000000003,2.7724916458224333e-05,55.45056238683768,2.9519509165460346e-05,59.04004370230832,2.7724916458223608e-05,55.45056238683624
0.42,3.594540602683196e-05,71.89073429446296,3.82052743965439e-05,76.41061062599165,3.5945406026831835e-05,71.8907342944627
0.43,4.58946209746802e-05,91.78757158051116,4.865702868674699e-05,97.31223869112353,4.589462097468017e-05,91.7875715805111
0.44,5.208499789738573e-05,104.16704919246787,5.5228051527297085e-05,110.45276123739382,5.2084997897385714e-05,104.16704919246784
0.45,5.231666628352216e-05,104.63033777724907,5.565407641399991e-05,111.30471073081746,5.231666628352217e-05,104.63033777724908
0.46,4.9470461930656546e-05,98.93792907151784,5.2904071981988573e-05,105.80470186679479,4.947046193065626e-05,98.93792907151727
0.47000000000000003,4.753188586045309e-05,95.06077693111094,5.108602794145651e-05,102.16861378573067,4.753188586045279e-05,95.06077693111034
0.48,4.832803121177365e-05,96.65292632323147,5.208584945429282e-05,104.16805068028879,4.832803121177365e-05,96.65292632323147
0.49,5.145784367439077e-05,102.91192144997225,5.549531431577467e-05,110.98618245300224,5.145784367439078e-05,102.91192144997227
0.5,5.52842703679405e-05,110.56388610334064,5.963251476055901e-05,119.25946533756857,5.528427036794051e-05,110.56388610334065
0.51,5.884883458122768e-05,117.6920764230342,6.351371261645338e-05,127.02067127183439,5.884883458122768e-05,117.6920764230342
0.52,6.162581676174917e-05,123.2452393558636,6.659854182422165e-05,133.18928995717386,6.162581676174917e-05,123.2452393558636
0.53,6.485205663636179e-05,129.69668799411266,7.01621979466963e-05,140.3152691219035,6.485205663636177e-05,129.69668799411264
0.54,6.873973688624342e-05,137.4706525717395,7.442225757653225e-05,148.83359543284243,6.873973688624342e-05,137.4706525717395
