0.000000, 0.0000000000e+00
0.020000, 2.6838668963e-01
0.040000, 5.4721499917e-01
0.060000, 8.3009788345e-01
0.080000, 1.1090133881e+00
0.100000, 1.3746970279e+00
0.120000, 1.6171431587e+00
0.140000, 1.8262589412e+00
0.160000, 1.9922785179e+00
0.180000, 2.1062861841e+00
0.200000, 2.1605215710e+00
0.220000, 2.1490118105e+00
0.240000, 2.0677895228e+00
0.260000, 1.9151980001e+00
0.280000, 1.6920437976e+00
0.300000, 1.4016621299e+00
0.320000, 1.0498514749e+00
0.340000, 6.4469918338e-01
0.360000, 1.9634169213e-01
0.380000, -2.8297007944e-01
0.400000, -7.8006966280e-01
0.420000, -1.2801774790e+00
0.440000, -1.7673150158e+00
0.460000, -2.2252857730e+00
0.480000, -2.6383292262e+00
0.500000, -2.9918401867e+00
0.520000, -3.2729355702e+00
0.540000, -3.4711083606e+00
0.560000, -3.5787289817e+00
0.580000, -3.5915684684e+00
0.600000, -3.5309678351e+00
0.620000, -3.4224098661e+00
0.640000, -3.2954319204e+00
0.660000, -3.1830591634e+00
0.680000, -3.0990902283e+00
0.700000, -3.0371816677e+00
0.720000, -2.9702593856e+00
0.740000, -2.8721866341e+00
0.760000, -2.7182435865e+00
0.780000, -2.4860428865e+00
0.800000, -2.1580801067e+00
0.820000, -1.7231942670e+00
0.840000, -1.1987154047e+00
0.860000, -6.2981061052e-01
0.880000, -6.5854141437e-02
0.900000, 4.5140932170e-01
0.920000, 8.9154866952e-01
0.940000, 1.2389123715e+00
0.960000, 1.4939364035e+00
0.980000, 1.6695256486e+00
1.000000, 1.7662250764e+00
1.020000, 1.7686883395e+00
1.040000, 1.6432363091e+00
1.060000, 1.3583697350e+00
1.080000, 8.8444226432e-01
1.100000, 2.3760679962e-01
1.120000, -5.2269136159e-01
1.140000, -1.3178021888e+00
1.160000, -2.0554296095e+00
1.180000, -2.6430813621e+00
1.200000, -3.0046142770e+00
1.220000, -3.1131504472e+00
1.240000, -2.9767990223e+00
1.260000, -2.6404655075e+00
1.280000, -2.1642709627e+00
1.300000, -1.6224838620e+00
1.320000, -1.1055037831e+00
1.340000, -6.9337587912e-01
1.360000, -4.2834620299e-01
1.380000, -3.1143929782e-01
1.400000, -3.2388640631e-01
1.420000, -4.2982852064e-01
1.440000, -5.8180967724e-01
1.460000, -7.2821034387e-01
1.480000, -8.2076800178e-01
1.500000, -8.2070260541e-01
1.520000, -6.7957724571e-01
1.540000, -3.6076995722e-01
1.560000, 1.4249868341e-01
1.580000, 8.0749253930e-01
1.600000, 1.5754202767e+00
1.620000, 2.3636208877e+00
1.640000, 3.0784685740e+00
1.660000, 3.6258579634e+00
1.680000, 3.9240000000e+00
1.700000, 3.9157164602e+00
1.720000, 3.5573007722e+00
1.740000, 2.8692002000e+00
1.760000, 1.9158301650e+00
1.780000, 8.2170534970e-01
1.800000, -2.6930223876e-01
1.820000, -1.2114894950e+00
1.840000, -1.8794915838e+00
1.860000, -2.2075851564e+00
1.880000, -2.2094162547e+00
1.900000, -1.9461304816e+00
1.920000, -1.5323458697e+00
1.940000, -1.0962174990e+00
1.960000, -7.6003657575e-01
1.980000, -6.0162477640e-01
2.000000, -6.4197433476e-01
2.020000, -8.6604408644e-01
2.040000, -1.2148029109e+00
