time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
0.0,-0.011899650671906294,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999776482582,0.01039714598719998,-2.885045944367448e-07,-1.7726138581666518e-08,-2.345659469129815e-10,8.723096319348163e-11,-2.2416008960135514e-07,-1.3449605376081308
0.019999999552965164,-0.012295543773415634,-8.174856134246511e-07,-5.054956288943316e-08,-1.3018879801368004e-09,4.726688176661911e-10,-6.325219980377975e-07,-3.7951319882267853
0.029999999329447746,0.012497097465899255,-1.3029648471274413e-06,-8.143338711171831e-08,-3.805161617896778e-09,1.3337045048602805e-09,-1.000907407918324e-06,-6.005444447509944
0.03999999910593033,0.027562529425515382,-2.7929488624067744e-06,-1.7493463204758616e-07,-8.98296548257349e-09,3.0335437865384543e-09,-2.141766268929738e-06,-12.850596419433725
0.05000000074505806,0.03971277108433735,-6.960531209188048e-06,-4.350731699189593e-07,-2.0708941721952417e-08,6.820957625879802e-09,-5.344271054733933e-06,-32.06560426347953
0.05999999865889549,0.01746754043757621,-1.4227836800273508e-05,-8.912818177325082e-07,-4.644915760662924e-08,1.5029652584214798e-08,-1.0906112038355786e-05,-65.43649921350588
0.07000000029802322,-0.007504317485990107,-2.315758501936216e-05,-1.4602939565385763e-06,-9.55115966563527e-08,3.016086541012757e-08,-1.7665264143336874e-05,-105.99093052086894
0.07999999821186066,0.00016521700772676443,-3.213644231436774e-05,-2.0472628050440643e-06,-1.760559421705289e-07,5.351062605364455e-08,-2.4325133078188326e-05,-145.94924478808545
0.09000000357627869,-0.02401208551879253,-4.0322869608644396e-05,-2.6025450265647293e-06,-2.931230685337343e-07,8.430005335766408e-08,-3.0201944658377517e-05,-181.2088906854299
0.10000000149011612,0.008983865378662002,-4.7531073505524546e-05,-3.114339590495177e-06,-4.4805346988141537e-07,1.1948739281959004e-07,-3.513661310231934e-05,-210.81551040481793
0.10999999940395355,-0.02402775365331278,-5.3988911531632766e-05,-3.594165415658305e-06,-6.388785954590679e-07,1.5408962402337542e-07,-3.9304675738094375e-05,-235.82241560410608
0.11999999731779099,-0.058953339440615114,-5.800773942610249e-05,-3.9343582035076845e-06,-8.595462633012277e-07,1.8117033404349866e-07,-4.1401896548147e-05,-248.4049184854425
0.12999999523162842,-0.04099894643071499,-5.7479239330859855e-05,-3.998457368989303e-06,-1.0977712210862794e-06,1.914627824185623e-07,-3.982208242329458e-05,-238.92603373632798
0.14000000059604645,-0.020892688850841227,-5.294608126860112e-05,-3.809028486203816e-06,-1.335512125580054e-06,1.7418137253520803e-07,-3.5052788007305935e-05,-210.3102672403961
