time_s,u_iso_1_m,f_iso_1_N,z_iso_1_m,u_iso_2_m,f_iso_2_N,z_iso_2_m,u_iso_3_m,f_iso_3_N,z_iso_3_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999776482582,-2.2178140568485105e-07,-0.4435628113697021,-2.2178140568485105e-07,-2.2891745743436331e-07,-0.45783491486872663,-2.2891745743436331e-07,-2.2178140568485105e-07,-0.4435628113697021,-2.2178140568485105e-07
0.019999999552965164,-6.256332767407002e-07,-1.2512665534814005,-6.256332767407002e-07,-6.462994406319922e-07,-1.2925988812639844,-6.462994406319922e-07,-6.256332767407002e-07,-1.2512665534814005,-6.256332767407002e-07
0.029999999329447746,-9.89526938610652e-07,-1.979053877221304,-9.89526938610652e-07,-1.0236683465336682e-06,-2.0473366930673365,-1.0236683465336682e-06,-9.89526938610652e-07,-1.979053877221304,-9.89526938610652e-07
0.03999999910593033,-2.11718975151598e-06,-4.234379118871789,-2.1171895493264168e-06,-2.190919303757255e-06,-4.381838181690147,-2.190919079639169e-06,-2.11718975151598e-06,-4.234379118871789,-2.1171895493264168e-06
0.05000000074505806,-5.283426617097575e-06,-10.566846132843343,-5.283422879543992e-06,-5.4659599300066475e-06,-10.931911997792843,-5.465955791995884e-06,-5.283426617097575e-06,-10.566846132843343,-5.283422879543992e-06
0.05999999865889549,-1.0780814591271337e-05,-21.56157352207461,-1.0780785296288145e-05,-1.1156706932524685e-05,-22.313352169356662,-1.115667446110747e-05,-1.0780814591271337e-05,-21.56157352207461,-1.0780785296288145e-05
0.07000000029802322,-1.7456804926041514e-05,-34.913399576017646,-1.7456694254428154e-05,-1.8082182577927597e-05,-36.164131368833644,-1.808205953212678e-05,-1.7456804926041514e-05,-34.913399576017646,-1.7456694254428154e-05
0.07999999821186066,-2.4026037863222882e-05,-48.051577257608805,-2.402577551120343e-05,-2.492332350811921e-05,-49.846090272867826,-2.4923030485292583e-05,-2.4026037863222882e-05,-48.051577257608805,-2.402577551120343e-05
0.09000000357627869,-2.9810573323629797e-05,-59.620257509286795,-2.9810105356275693e-05,-3.098468732787296e-05,-61.9683756668563,-3.0984161544246845e-05,-2.9810573323629797e-05,-59.620257509286795,-2.9810105356275693e-05
0.10000000149011612,-3.465283225523308e-05,-69.30433347502444,-3.465213171026375e-05,-3.610417479649186e-05,-72.20684345476906,-3.610338209216835e-05,-3.465283225523308e-05,-69.30433347502444,-3.465213171026375e-05
0.10999999940395355,-3.872736488119699e-05,-77.45293431210855,-3.872641990736256e-05,-4.045929745188914e-05,-80.916546979889,-4.045821959721058e-05,-3.872736488119699e-05,-77.45293431210855,-3.872641990736256e-05
0.11999999731779099,-4.074538446730003e-05,-81.48871887586753,-4.074430548901975e-05,-4.271492070984095e-05,-85.42748073370741,-4.2713678243538585e-05,-4.074538446730003e-05,-81.48871887586753,-4.074430548901975e-05
0.12999999523162842,-3.9120994188124314e-05,-78.2399383175161,-3.9119915209844036e-05,-4.1224258893635124e-05,-82.44615710129575,-4.1223016427332755e-05,-3.9120994188124314e-05,-78.2399383175161,-3.9119915209844036e-05
0.14000000059604645,-3.4341988794039935e-05,-68.68192752934735,-3.434090981575966e-05,-3.6474386433837935e-05,-72.94641218170138,-3.647314396753557e-05,-3.4341988794039935e-05,-68.68192752934735,-3.434090981575966e-05
0.15000000596046448,-2.832851532730274e-05,-56.65498059587295,-2.832743634902246e-05,-3.042846219614148e-05,-60.85456370630846,-3.0427219729839113e-05,-2.832851532730274e-05,-56.65498059587295,-2.832743634902246e-05
