time_s,ground_accel_m_per_s2,roof_displacement_m,story_1_drift_ratio,story_2_drift_ratio,story_3_drift_ratio,isolation_displacement_m,total_base_shear_N
0.6,0.022488384228050114,0.00019470170470035073,1.3312552955263514e-05,7.839469696263024e-06,5.016644861213279e-06,0.00010049450165448739,602.8828854352197
0.61,0.06995202279490274,0.00020831281330087597,1.4250029319542133e-05,8.134325483232999e-06,5.041373986285229e-06,0.00010958018966025867,657.3720656978976
0.62,0.04745684573638024,0.00021650083985301605,1.485892175168439e-05,8.417130332397543e-06,5.04444826688341e-06,0.00011454703858954081,687.1582475169207
0.63,0.02825445606231955,0.00021970109729292913,1.5159708957333337e-05,8.679046257337617e-06,5.034166223792965e-06,0.00011575858011445902,694.4237655049499
0.64,-0.03549353087230937,0.00022104393841624608,1.5335869363901866e-05,8.908376489815549e-06,5.019673011626013e-06,0.00011569383050100974,694.0352093818186
0.65,-0.06929133326173072,0.00022504727381035755,1.5657730032979614e-05,9.097310463091079e-06,5.007906852675855e-06,0.00011790066335486998,707.2691802027507
0.66,0.012854687928431082,0.00023293862132442252,1.6199195395630704e-05,9.245949154530866e-06,5.001843841102336e-06,0.00012332946311587246,739.8230986926162
0.67,0.06440049532161157,0.00024016576975636965,1.668394493070282e-05,9.358486796034085e-06,5.0020085754019426e-06,0.0001284057846686698,770.261895444158
0.68,0.0392875993960109,0.00024273174475713868,1.6868444722462617e-05,9.436302208207265e-06,5.009202342045991e-06,0.00013000152737536154,779.8301828806258
0.6900000000000001,0.09549975903614459,0.00023920923671892627,1.6663128766773702e-05,9.474808061829647e-06,5.025633743349226e-06,0.000127020382659897,761.9433145878385
0.7000000000000001,0.05752362216564213,0.00022837787793149948,1.5987842683549186e-05,9.462629841269936e-06,5.054974871977922e-06,0.00011855826730303012,711.1706224466373
0.71,-0.05403994137009496,0.0002135298192407627,1.5036405237533577e-05,9.384675064988852e-06,5.100799609618384e-06,0.00010725105155705576,643.3273279707911
0.72,-0.04874822726669657,0.0002010574682371439,1.4194990589929244e-05,9.230777923701198e-06,5.162962468127509e-06,9.813803670281527e-05,588.649238845348
0.73,-0.10730416133332492,0.0001949321886175857,1.3708924715915282e-05,9.003045726467534e-06,5.234848832859179e-06,9.432363922671451e-05,565.7628539887435
0.74,-0.07588707248501085,0.0001971374989306819,1.3710176726722789e-05,8.718330571867133e-06,5.303002558689995e-06,9.73040634444742e-05,583.6389703528163
0.75,0.09245612474017728,0.00020333193555577072,1.3949912619258547e-05,8.40345978965213e-06,5.3499513373953005e-06,0.0001035999700690692,621.3989954781734
0.76,0.09977378813628927,0.0002041192429925794,1.3868947372293214e-05,8.081968754876375e-06,5.360366241301323e-06,0.00010579862646608412,634.5853348899032
0.77,0.0159487974172516,0.00019702601361792506,1.3323598448129088e-05,7.76483136696114e-06,5.325310330336037e-06,0.0001019365490943905,611.4128706597414
0.78,-0.03554137818184116,0.00018735543960904694,1.2639527856632274e-05,7.454195494264651e-06,5.241025527017651e-06,9.615034364855447e-05,576.6956379847252
0.79,-0.11339415697398932,0.0001817237947963851,1.2222294912315257e-05,7.152911107618386e-06,5.105321065105893e-06,9.359389729024277e-05,561.3569598348549
0.8,-0.10001798295436598,0.0001849680045330378,1.2372395192338888e-05,6.871968502942677e-06,4.914894830180955e-06,9.799467384137273e-05,587.7519822926932
0.81,-0.02740262520454129,0.00019654037085466594,1.3065523777050418e-05,6.631356411317576e-06,4.665422250166762e-06,0.00010883608207594082,652.7711276969322
0.8200000000000001,-0.047228021556598714,0.00021296967229019462,1.4099861044803618e-05,6.454618089681576e-06,4.354179237614387e-06,0.00012329850215063613,739.495478844905
0.8300000000000001,-0.12133928949147404,0.00023529059652088266,1.5547788943564933e-05,6.365977089924681e-06,3.981591200436131e-06,0.00014206731047874998,852.0219014329077
0.84,-0.11872256227847942,0.0002676453490585833,1.767195914088866e-05,6.3936307182714215e-06,3.5503268134638194e-06,0.00016822804903713726,1008.817460400234
0.85,0.025284452082056597,0.0003081656282937676,2.036857321247702e-05,6.569321502458807e-06,3.06582798060835e-06,0.00020015222658980857,1200.0709217935862
0.86,-0.007306556870376103,0.0003504252515855597,2.3251843420603572e-05,6.919640896562452e-06,2.539865363620036e-06,0.00023266439273472988,1394.7427738481733
0.87,-0.06869634081159458,0.00039402687100406966,2.6297402718105966e-05,7.4608847417488165e-06,1.9922967723691256e-06,0.0002653247677680636,1590.1811759106752
0.88,-0.06056105862358717,0.00044269212628225295,2.9727435720428713e-05,8.202978446965472e-06,1.4489172830123156e-06,0.00030092653306078955,1803.0575999623302
0.89,-0.026932333255412843,0.0004967482845173091,3.355428683989418e-05,9.15288361826474e-06,9.392995917690095e-07,0.00033962099233756857,2034.2086800911804
0.9,0.13413460213165196,0.0005503307873417923,3.740885498794211e-05,1.0310206481074737e-05,4.974534668459428e-07,0.0003767513335726862,2255.7920990468833
0.91,0.09982956867848954,0.0005954637531871899,4.078627988297585e-05,1.1658132907378658e-05,1.6389145726124837e-07,0.00040607385789577315,2430.627935348154
0.92,0.024401185789829482,0.0006317874428329997,4.363794621889563e-05,1.3161489235531501e-05,-1.5591977954853896e-08,0.0004273656063176995,2557.494245186624
0.93,0.04088217916237578,0.0006635735224058079,4.619261603678685e-05,1.4775165710899606e-05,4.536103017366057e-09,0.0004440731781432742,2656.990421711642
0.9400000000000001,-0.00586917906760761,0.0006930880947648655,4.855720551468585e-05,1.645301648694076e-05,2.639003395365372e-07,0.0004581012543366781,2740.489303701533
0.9500000000000001,0.00517462454748201,0.0007219956919398772,5.080697504012487e-05,1.8153680400370554e-05,7.921292074722876e-07,0.0004708856672071934,2816.5510473649465
0.96,-0.00041310821639994693,0.0007510457489829615,5.29690809258969e-05,1.984467186917668e-05,1.6059815304747872e-06,0.00048313470541098735,2889.3951232625345
0.97,-0.09034142240698506,0.0007824589064169766,5.517001687664597e-05,2.1506061593924053e-05,2.707308947578555e-06,0.0004966787117116417,2969.8999009647287
0.98,-0.04394167992368004,0.0008196535686192483,5.7620675732401234e-05,2.313494271115189e-05,4.081511968292237e-06,0.000514239899136605,3074.212819682333
0.99,0.15018080477126125,0.000857629398115062,6.0029338469830137e-05,2.4742062141034202e-05,5.6998165531477575e-06,0.0005319330163246185,3179.2357040266597
1.0,0.14120385617983208,0.0008856696901496199,6.17607506798254e-05,2.6337061748647698e-05,7.526381891004775e-06,0.0005414225905994996,3235.541455162958
1.01,0.09661115535029474,0.0009004133933249497,6.26246080859483e-05,2.791764521508527e-05,9.523820422261487e-06,0.0005401755279210875,3228.0590790924857
1.02,-0.005578178176786855,0.0009067882120942813,6.292825015993005e-05,2.9472302707919425e-05,1.1653270398100812e-05,0.0005321944483368603,3180.172601587122
1.03,-0.2035746835059167,0.0009158646036671843,6.3355455139139e-05,3.099285991748858e-05,1.387073746413304e-05,0.0005262760145924461,3144.661999120636
1.04,-0.14104444778589978,0.0009384027108272788,6.458208148637814e-05,3.248886858955814e-05,1.6123203598771192e-05,0.0005309037575983319,3172.131650901342
1.05,0.04585086194805441,0.0009714121885647211,6.645316983405533e-05,3.398789101341763e-05,1.8350826688503337e-05,0.0005437613934352064,3248.4152699836977
1.06,0.16818502839886026,0.0010008060188993414,6.813930979975716e-05,3.551645207413562e-05,2.0496800478547445e-05,0.0005538567944305566,3308.2850837067035
1.07,0.16371787466594223,0.0010158212244282567,6.9005362833122e-05,3.707933791137617e-05,2.2517258172193044e-05,0.0005528541723281683,3302.269351092374
1.08,0.04346171934723688,0.0010165683241811782,6.905864242880602e-05,3.865405479162771e-05,2.4384279879314842e-05,0.0005410192066220834,3231.2595568558645
1.09,-0.07061816642553434,0.0010119678666877185,6.883055774829033e-05,4.020141412427503e-05,2.608179310775757e-05,0.0005255583127585559,3138.4941936746995
1.1,0.01082122685603452,0.0010086346012364224,6.871112814485176e-05,4.167940893475486e-05,2.7599804318989376e-05,0.0005118693722014769,3056.360550332224
1.11,0.07347561766731321,0.0010037288092024895,6.851251110778096e-05,4.304632047441775e-05,2.893268769564947e-05,0.000497959339802236,2972.90035593678
1.12,-0.09375643115724568,0.0009962222039639243,6.815559747510887e-05,4.4259201821686985e-05,3.0079132601359988e-05,0.0004832440491305632,2884.608611906743
1.1300000000000001,-0.14208543666011716,0.0009940785336498557,6.811280023235697e-05,4.5282459922904744e-05,3.10381590328804e-05,0.00047411822457254404,2829.8536645586278
1.1400000000000001,-0.13137086220076952,0.0010035789018890044,6.876269842343411e-05,4.610006349290639e-05,3.1804090040885645e-05,0.0004755782348429903,2838.538056334057
1.1500000000000001,-0.08864668557818059,0.0010242788193618908,7.008176079601634e-05,4.671809108574514e-05,3.2365854875045705e-05,0.00048728227503738497,2908.13306110146
1.16,0.15355887440690924,0.0010476862121536134,7.156173429060474e-05,4.715497491084411e-05,3.271145720679224e-05,0.0005025448130839455,2998.836306370708
1.17,0.08152189890132108,0.0010624208566301428,7.251884904203198e-05,4.742477809493623e-05,3.28350513878709e-05,0.000512417613940722,3057.4867847710166
1.18,-0.07698929599888807,0.0010700114245498185,7.30496559632641e-05,4.753140163189001e-05,3.2739320465856284e-05,0.0005180580635301811,3090.9871435700943
1.19,0.001139727871317467,0.0010782523736506476,7.362738473214792e-05,4.74779880663143e-05,3.243163237967738e-05,0.000525519155009345,3135.2880782502916
1.2,-0.009098922043707078,0.0010874788721491647,7.42705277518223e-05,4.72723597850452e-05,3.192170494652889e-05,0.0005350063392089377,3191.597916405746
1.21,0.034022659952868635,0.0010952057039817396,7.482693101231987e-05,4.692384747853137e-05,3.122259238915762e-05,0.0005445015688137077,3247.933870915498
1.22,0.05071219817918765,0.0010991630988471035,7.515632218063148e-05,4.643963088314824e-05,3.0351710254863473e-05,0.000552151510899988,3293.3074547036717
1.23,0.07966998490027231,0.001096774999990033,7.509646501490485e-05,4.58217876819823e-05,2.9331353275986217e-05,0.0005558764184876889,3315.397751145933
1.24,0.11367330759851153,0.0010853985421895326,7.447583993584479e-05,4.5064589501793525e-05,2.818883200991414e-05,0.0005535732009783438,3301.578446089862
1.25,0.059401319172863454,0.0010640471771871352,7.321751065725613e-05,4.415378639324056e-05,2.6955543329576065e-05,0.0005444705518188733,3246.9625511330382
1.26,-0.05664898326394198,0.001037564460831475,7.159878107159696e-05,4.307231925993668e-05,2.5663390620625254e-05,0.0005323602934037029,3174.3010006420163
1.27,-0.14864126180653395,0.0010154721153698084,7.018936009225551e-05,4.181341287875756e-05,2.433854800253216e-05,0.0005246433598650456,3127.999399410073
1.28,0.0010668760040687133,0.0010015728654774584,6.922105622170098e-05,4.03900067084555e-05,2.2997243878178093e-05,0.0005241829609674539,3125.2370060245225
1.29,0.12099047516758171,0.00098772694497256,6.820431418113938e-05,3.882816141198105e-05,2.164836488885695e-05,0.0005244759192374414,3126.971443496204
1.3,0.12198510421339265,0.0009642293439827895,6.655356946437943e-05,3.715134221003113e-05,2.0299772654261193e-05,0.0005178124803995711,3086.9908104689816
