time_s,iso1_disp_m,iso1_force_N,iso1_z_m,iso2_disp_m,iso2_force_N,iso2_z_m,iso3_disp_m,iso3_force_N,iso3_z_m
0.1,-3.4275918784409014e-05,-68.55054793026355,-3.4275240027275074e-05,-3.5708143476140864e-05,-71.41482807125084,-3.5707375644019344e-05,-3.4275918784409014e-05,-68.55054793026355,-3.4275240027275074e-05
0.11,-3.831740378255836e-05,-76.6330669790994,-3.831648768465451e-05,-4.00275517533008e-05,-80.05311868916372,-4.002650711254402e-05,-3.831740378255835e-05,-76.63306697909938,-3.8316487684654505e-05
0.12,-4.030339109580646e-05,-80.60479644497295,-4.0302345965995945e-05,-4.224844662040712e-05,-84.49460716554408,-4.224724342289651e-05,-4.030339109580646e-05,-80.60479644497295,-4.0302345965995945e-05
0.13,-3.8647878159144283e-05,-77.29377057164858,-3.864683302933377e-05,-4.0723970434628485e-05,-81.4456547939868,-4.0722767237117874e-05,-3.8647878159144283e-05,-77.29377057164858,-3.864683302933377e-05
0.14,-3.383855133178862e-05,-67.67511691693724,-3.3837506201978095e-05,-3.594111596645606e-05,-71.87994585764196,-3.593991276894545e-05,-3.383855133178862e-05,-67.67511691693724,-3.3837506201978095e-05
0.15,-2.7795465864687634e-05,-55.58894598273529,-2.779442073487712e-05,-2.9862970533402495e-05,-59.72365499153483,-2.9861767335891883e-05,-2.779546586468763e-05,-55.58894598273528,-2.7794420734877116e-05
0.16,-2.2626865039963454e-05,-45.251744333286936,-2.262581991015294e-05,-2.4649999223489365e-05,-49.29771237170857,-2.4648796025978754e-05,-2.2626865039963454e-05,-45.251744333286936,-2.262581991015294e-05
0.17,-1.8814228380078893e-05,-37.6264710135178,-1.8813183250268374e-05,-2.079070560001041e-05,-41.57912512475066,-2.0789502402499798e-05,-1.8814228380078896e-05,-37.626471013517815,-1.881318325026838e-05
0.18,-1.5776800701286767e-05,-31.551615655933556,-1.5775755571476252e-05,-1.7683513919522962e-05,-35.36474176377576,-1.768231072201235e-05,-1.577680070128677e-05,-31.55161565593356,-1.5775755571476252e-05
0.19,-1.4848179025989895e-05,-29.69437230533981,-1.484713389617938e-05,-1.6706958749691033e-05,-33.4116314241119,-1.670575555218042e-05,-1.4848179025989897e-05,-29.694372305339815,-1.4847133896179382e-05
0.2,-1.8527701889017004e-05,-37.053322047836936,-1.852660624154486e-05,-2.0450292470491197e-05,-40.898179901201985,-2.0449026660080455e-05,-1.8527701889017004e-05,-37.053322047836936,-1.852660624154486e-05
0.21,-2.5781201979107887e-05,-51.55995585445845,-2.5779913503446137e-05,-2.7866578198046693e-05,-55.73031371259576,-2.786508204883742e-05,-2.5781201979107883e-05,-51.55995585445844,-2.577991350344613e-05
0.22,-3.1925392889925214e-05,-63.84786178352327,-3.192385394448987e-05,-3.4146319056013436e-05,-68.28923901511176,-3.414453005763706e-05,-3.192539288992521e-05,-63.84786178352326,-3.192385394448986e-05
