time_s,roof_displacement_m,story_1_drift_ratio,story_2_drift_ratio,story_3_drift_ratio,isolation_displacement_m,total_base_shear_N,iso1_disp_m,iso1_force_N,iso1_z_m,iso2_disp_m,iso2_force_N,iso2_z_m,iso3_disp_m,iso3_force_N,iso3_z_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004999999888241291,7.902683307747793e-08,4.836620980262928e-09,2.6100603160254345e-11,-9.975230518143184e-12,6.155694620701979e-08,0.3693416771889017,6.091468662816624e-08,0.12182937323915419,6.091468661912503e-08,6.28414653647269e-08,0.12568293071059333,6.284146535480034e-08,6.091468662816624e-08,0.12182937323915419,6.091468661912503e-08
0.009999999776482582,1.7674119590083137e-07,1.0849130976314175e-08,1.2313705610722536e-10,-4.6615550925505685e-11,1.3740884696744615e-07,0.8244530814247031,1.359564976155525e-07,0.27191299510850825,1.359564975510279e-07,1.4031354567123344e-07,0.28062709120768653,1.4031354560029642e-07,1.359564976155525e-07,0.27191299510850825,1.359564975510279e-07
0.014999999664723873,1.5507544048887212e-07,9.609120741903033e-09,2.849986913133762e-10,-1.0614718980327274e-10,1.1983874041258483e-07,0.7190324420955352,1.1852264236722476e-07,0.23704528461185276,1.1852264230270015e-07,1.2247093650330498e-07,0.2449418728718296,1.2247093643236796e-07,1.1852264236722476e-07,0.23704528461185276,1.1852264230270015e-07
0.021250000223517418,1.532720972363677e-07,9.630410707578215e-09,5.445836374443994e-10,-1.9689533953876687e-10,1.1735094081662585e-07,0.7041056445197813,1.159892732971457e-07,0.23197854647169464,1.1598927323262109e-07,1.2007427585558617e-07,0.24014855157639198,1.2007427578464914e-07,1.159892732971457e-07,0.23197854647169464,1.1598927323262109e-07
0.029062500223517418,2.598890773697349e-07,1.6370349355922913e-08,1.0142760705396843e-09,-3.5146601678409045e-10,1.9856970349489225e-07,1.19141821985861,1.962408049394071e-07,0.3924816095213377,1.9624080475126157e-07,2.032275006058626e-07,0.40645500081593455,2.0322750039755172e-07,1.962408049394071e-07,0.3924816095213377,1.9624080475126157e-07
0.03882812336087227,-4.823655785912706e-07,-2.8824710848648797e-08,1.257329055685356e-09,-3.8097722507599324e-10,-3.8175148612632864e-07,-2.290508898575281,-3.781559883009322e-07,-0.7563119707167114,-3.7815598520348324e-07,-3.8894248177712143e-07,-0.7778849571418581,-3.8894247840218207e-07,-3.781559883009322e-07,-0.7563119707167114,-3.7815598520348324e-07
0.048828125,-3.718459311130573e-06,-2.2799465821460925e-07,-1.964824352600974e-09,9.158106372019069e-10,-2.893902092182543e-06,-17.363407734928074,-2.8634815407713177e-06,-5.726961526892913,-2.8634807225346217e-06,-2.954743195004994e-06,-5.90948468114225,-2.9547422956009212e-06,-2.8634815407713177e-06,-5.726961526892913,-2.8634807225346217e-06
0.05882812663912773,-1.0005523108702619e-05,-6.185684840063373e-07,-1.547328388874626e-08,5.906915450598009e-09,-7.74423763990247e-06,-46.465354650624484,-7.660015398869291e-06,-15.320007853668146,-7.660003323042746e-06,-7.912682121968828e-06,-15.825338943288195,-7.912668805837533e-06,-7.660015398869291e-06,-15.320007853668146,-7.660003323042746e-06
0.06882812827825546,-1.812375194276683e-05,-1.1305261674957971e-06,-4.8298716137651354e-08,1.7357706383336335e-08,-1.3942470104666427e-05,-83.65447451002366,-1.3785223018203396e-05,-27.57033463002043,-1.3785164383263206e-05,-1.4256964277592488e-05,-28.51380524998281,-1.4256899380117663e-05,-1.3785223018203396e-05,-27.57033463002043,-1.3785164383263206e-05
0.0788281261920929,-2.6479947337065823e-05,-1.6705138882065917e-06,-1.088331676631545e-07,3.709677306081479e-08,-2.020784631895367e-05,-121.24614794290409,-1.996933133341372e-05,-39.93836384261983,-1.9969174057514978e-05,-2.068487629003357e-05,-41.369420257664444,-2.0684701383505834e-05,-1.996933133341372e-05,-39.93836384261983,-1.9969174057514978e-05
0.08882812410593033,-3.4141583455493674e-05,-2.1838000234479465e-06,-2.0271121078015614e-07,6.505615601781756e-08,-2.5784345173936647e-05,-154.70429490182255,-2.5462702978984453e-05,-50.92483645675958,-2.546240324150586e-05,-2.6427629563841037e-05,-52.85462198830341,-2.6427294227325947e-05,-2.5462702978984453e-05,-50.92483645675958,-2.546240324150586e-05
0.09882812201976776,-4.0845483454177156e-05,-2.654412162007281e-06,-3.320322624252488e-07,9.897020289726142e-08,-3.045057625665019e-05,-182.7006936523297,-3.0045850508031435e-05,-60.090817078331234,-3.0045385277646363e-05,-3.12600277538877e-05,-62.51905949566723,-3.125950353698866e-05,-3.0045850508031435e-05,-60.090817078331234,-3.0045385277646363e-05
0.10882812738418579,-4.677054675994441e-05,-3.0914257136087306e-06,-4.956058950887785e-07,1.3460117366371884e-07,-3.4341797193822764e-05,-206.0469712750397,-3.385321906534955e-05,-67.70522258722731,-3.385257930562756e-05,-3.5318953450769186e-05,-70.63652610058509,-3.531822671342535e-05,-3.385321906534955e-05,-67.70522258722731,-3.385257930562756e-05
0.11882812529802322,-5.0452330469852313e-05,-3.4014313617565977e-06,-6.882702210633498e-07,1.6572509290805706e-07,-3.632601510616951e-05,-217.95168018007647,-3.576621020329185e-05,-71.53101888814686,-3.5765472562009307e-05,-3.7445624911924824e-05,-74.88964240378276,-3.7444778901363305e-05,-3.576621020329185e-05,-71.53101888814686,-3.5765472562009307e-05
0.12882812321186066,-4.9831443902803585e-05,-3.4516152583010908e-06,-8.988627087092027e-07,1.8376037284421423e-07,-3.48312605638057e-05,-208.98315292589362,-3.4232471080031246e-05,-68.46354064162566,-3.4231733438748704e-05,-3.6028839531354606e-05,-72.05607164264232,-3.602799352079309e-05,-3.4232471080031246e-05,-68.46354064162566,-3.4231733438748704e-05
0.1388281285762787,-4.5139826397644356e-05,-3.246145583775446e-06,-1.1103646910568284e-06,1.7841254399778941e-07,-3.009867456664021e-05,-180.5876369429007,-2.9495633498299867e-05,-58.989865478162905,-2.9494895857017325e-05,-3.130475670332089e-05,-62.60790598657489,-3.130391069275937e-05,-2.9495633498299867e-05,-58.989865478162905,-2.9494895857017325e-05
0.14882811903953552,-3.854599344776943e-05,-2.9066428329248014e-06,-1.303586840448487e-06,1.397711457684636e-07,-2.3892342748392064e-05,-143.34964603341183,-2.3307084120460786e-05,-46.61276672248474,-2.3306346479178244e-05,-2.5062860004254617e-05,-50.124112588442344,-2.5062013993693098e-05,-2.3307084120460786e-05,-46.61276672248474,-2.3306346479178244e-05
0.15882812440395355,-3.26613117067609e-05,-2.5837750770194736e-06,-1.462117324990686e-06,6.080275246252616e-08,-1.8314988968389418e-05,-109.88552335339597,-1.7752456187736243e-05,-35.50351085703566,-1.77517185464537e-05,-1.944005452969577e-05,-38.878501639324654,-1.9439208519134252e-05,-1.7752456187736243e-05,-35.50351085703566,-1.77517185464537e-05
