time_s,iso1_disp_m,iso1_force_N,iso1_z_m,iso2_disp_m,iso2_force_N,iso2_z_m,iso3_disp_m,iso3_force_N,iso3_z_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004999999888241291,6.091468662816624e-08,0.12182937323915419,6.091468661912503e-08,6.28414653647269e-08,0.12568293071059333,6.284146535480034e-08,6.091468662816624e-08,0.12182937323915419,6.091468661912503e-08
0.009999999776482582,1.359564976155525e-07,0.27191299510850825,1.359564975510279e-07,1.4031354567123344e-07,0.28062709120768653,1.4031354560029642e-07,1.359564976155525e-07,0.27191299510850825,1.359564975510279e-07
0.014999999664723873,1.1852264236722476e-07,0.23704528461185276,1.1852264230270015e-07,1.2247093650330498e-07,0.2449418728718296,1.2247093643236796e-07,1.1852264236722476e-07,0.23704528461185276,1.1852264230270015e-07
0.021250000223517418,1.159892732971457e-07,0.23197854647169464,1.1598927323262109e-07,1.2007427585558617e-07,0.24014855157639198,1.2007427578464914e-07,1.159892732971457e-07,0.23197854647169464,1.1598927323262109e-07
0.029062500223517418,1.962408049394071e-07,0.3924816095213377,1.9624080475126157e-07,2.032275006058626e-07,0.40645500081593455,2.0322750039755172e-07,1.962408049394071e-07,0.3924816095213377,1.9624080475126157e-07
0.03882812336087227,-3.781559883009322e-07,-0.7563119707167114,-3.7815598520348324e-07,-3.8894248177712143e-07,-0.7778849571418581,-3.8894247840218207e-07,-3.781559883009322e-07,-0.7563119707167114,-3.7815598520348324e-07
0.048828125,-2.8634815407713177e-06,-5.726961526892913,-2.8634807225346217e-06,-2.954743195004994e-06,-5.90948468114225,-2.9547422956009212e-06,-2.8634815407713177e-06,-5.726961526892913,-2.8634807225346217e-06
0.05882812663912773,-7.660015398869291e-06,-15.320007853668146,-7.660003323042746e-06,-7.912682121968828e-06,-15.825338943288195,-7.912668805837533e-06,-7.660015398869291e-06,-15.320007853668146,-7.660003323042746e-06
0.06882812827825546,-1.3785223018203396e-05,-27.57033463002043,-1.3785164383263206e-05,-1.4256964277592488e-05,-28.51380524998281,-1.4256899380117663e-05,-1.3785223018203396e-05,-27.57033463002043,-1.3785164383263206e-05
