0.0000000000e+00	0.0000000000e+00
9.9999997765e-03	3.6510208190e-08
1.9999999553e-02	1.5336910053e-07
2.9999999329e-02	3.0372666515e-07
3.9999999106e-02	-5.3517692322e-07
5.0000000745e-02	-3.9319702410e-06
5.9999998659e-02	-1.0131513591e-05
7.0000000298e-02	-1.7531470803e-05
7.9999998212e-02	-2.4442160793e-05
9.0000003576e-02	-3.0042741855e-05
1.0000000149e-01	-3.4233209590e-05
1.0999999940e-01	-3.7351535866e-05
1.1999999732e-01	-3.7863545003e-05
1.2999999523e-01	-3.3913805964e-05
1.4000000060e-01	-2.6340607292e-05
1.5000000596e-01	-1.7734122594e-05
1.5999999642e-01	-1.0765550542e-05
1.7000000179e-01	-5.8791843003e-06
1.8000000715e-01	-2.1245748485e-06
1.8999999762e-01	-1.0228269502e-06
2.0000000298e-01	-5.5329055613e-06
2.0999999344e-01	-1.4042484509e-05
2.1999999881e-01	-2.0438428692e-05
2.3000000417e-01	-2.2257654564e-05
2.3999999464e-01	-2.0942536139e-05
2.5000000000e-01	-1.6055781089e-05
2.5999999046e-01	-5.9524086282e-06
2.7000001073e-01	7.6570804595e-06
2.8000000119e-01	1.9584504116e-05
2.8999999166e-01	2.6399244234e-05
3.0000001192e-01	2.9758359233e-05
3.1000000238e-01	3.4796012187e-05
3.1999999285e-01	4.4727901695e-05
3.3000001311e-01	5.6922581280e-05
3.4000000358e-01	6.6611646616e-05
3.4999999404e-01	7.2458919021e-05
3.6000001431e-01	7.5244941399e-05
3.7000000477e-01	7.5042720709e-05
3.7999999523e-01	7.0592657721e-05
3.8999998569e-01	6.2014456489e-05
4.0000000596e-01	5.5434167734e-05
4.0999999642e-01	5.8255176555e-05
4.1999998689e-01	6.9858280767e-05
4.3000000715e-01	8.3039136371e-05
4.3999999762e-01	9.0606663434e-05
4.4999998808e-01	8.9923814812e-05
4.6000000834e-01	8.4984443674e-05
4.6999999881e-01	8.1034610048e-05
4.7999998927e-01	8.0323312432e-05
4.9000000954e-01	8.2125690824e-05
5.0000000000e-01	8.4157378296e-05
5.0999999046e-01	8.5115316324e-05
5.1999998093e-01	8.4359897301e-05
5.2999997139e-01	8.3580416685e-05
5.4000002146e-01	8.3145911049e-05
5.5000001192e-01	7.9658762843e-05
5.6000000238e-01	7.4161092925e-05
5.6999999285e-01	7.0751331805e-05
5.7999998331e-01	7.1631446190e-05
5.8999997377e-01	7.7116979810e-05
6.0000002384e-01	8.4152357886e-05
6.1000001431e-01	8.7970845925e-05
6.2000000477e-01	8.5774510808e-05
6.2999999523e-01	7.8225275502e-05
6.3999998569e-01	6.8688859756e-05
6.4999997616e-01	6.1770646425e-05
6.6000002623e-01	5.8628724219e-05
6.7000001669e-01	5.4701496992e-05
6.8000000715e-01	4.6217894123e-05
6.8999999762e-01	3.2171978091e-05
6.9999998808e-01	1.1880473721e-05
7.0999997854e-01	-1.0876126908e-05
7.2000002861e-01	-2.9533308407e-05
7.3000001907e-01	-4.0360697312e-05
7.4000000954e-01	-4.1941737436e-05
7.5000000000e-01	-3.9248545363e-05
7.5999999046e-01	-4.1963579861e-05
7.6999998093e-01	-5.2414099628e-05
7.7999997139e-01	-6.5052969148e-05
7.9000002146e-01	-7.3238530604e-05
8.0000001192e-01	-7.2430506407e-05
8.1000000238e-01	-6.3673098339e-05
8.1999999285e-01	-5.0898939662e-05
8.2999998331e-01	-3.3471089409e-05
8.3999997377e-01	-7.7401182352e-06
8.5000002384e-01	2.3907219656e-05
8.6000001431e-01	5.4796320910e-05
8.7000000477e-01	8.4569219325e-05
8.7999999523e-01	1.1700963660e-04
8.8999998569e-01	1.5243653615e-04
8.9999997616e-01	1.8510059454e-04
9.1000002623e-01	2.0749570103e-04
9.2000001669e-01	2.1998274315e-04
9.3000000715e-01	2.2746276227e-04
9.3999999762e-01	2.3258985311e-04
9.4999998808e-01	2.3719185265e-04
9.5999997854e-01	2.4200251210e-04
9.7000002861e-01	2.4907244369e-04
9.8000001907e-01	2.6146907476e-04
9.9000000954e-01	2.7388360468e-04
1.0000000000e+00	2.7577520814e-04
1.0099999905e+00	2.6449636789e-04
1.0199999809e+00	2.4581424077e-04
1.0299999714e+00	2.3124787549e-04
1.0399999619e+00	2.3127197346e-04
1.0499999523e+00	2.4212173594e-04
1.0599999428e+00	2.4915725226e-04
1.0700000525e+00	2.4170326651e-04
1.0800000429e+00	2.2040511249e-04
1.0900000334e+00	1.9465452351e-04
1.1000000238e+00	1.7117166135e-04
1.1100000143e+00	1.4704329078e-04
1.1200000048e+00	1.2118403538e-04
1.1299999952e+00	1.0127508722e-04
1.1399999857e+00	9.2880363809e-05
1.1499999762e+00	9.4606162747e-05
1.1599999666e+00	9.7238633316e-05
1.1699999571e+00	8.9337925601e-05
1.1799999475e+00	7.2905146226e-05
1.1900000572e+00	5.6219163525e-05
1.2000000477e+00	3.9996062696e-05
1.2100000381e+00	2.2196070859e-05
1.2200000286e+00	1.1125209767e-06
1.2300000191e+00	-2.5142742743e-05
1.2400000095e+00	-5.8387031459e-05
1.2500000000e+00	-9.8688018625e-05
1.2599999905e+00	-1.4041143004e-04
1.2699999809e+00	-1.7371945432e-04
1.2799999714e+00	-1.9503591466e-04
1.2899999619e+00	-2.1283037495e-04
1.2999999523e+00	-2.3677972786e-04
1.3099999428e+00	-2.6873996831e-04
1.3200000525e+00	-3.0382737168e-04
1.3300000429e+00	-3.3278766205e-04
1.3400000334e+00	-3.5074551124e-04
1.3500000238e+00	-3.6232985440e-04
1.3600000143e+00	-3.7344256998e-04
1.3700000048e+00	-3.8600352127e-04
1.3799999952e+00	-4.0043616900e-04
1.3899999857e+00	-4.1973401676e-04
1.3999999762e+00	-4.4646978495e-04
1.4099999666e+00	-4.7412299318e-04
1.4199999571e+00	-4.8908079043e-04
1.4299999475e+00	-4.8336753389e-04
1.4400000572e+00	-4.6287736041e-04
1.4500000477e+00	-4.3931262917e-04
1.4600000381e+00	-4.1811424308e-04
1.4700000286e+00	-4.0107982932e-04
1.4800000191e+00	-3.9137894055e-04
1.4900000095e+00	-3.9066362660e-04
1.5000000000e+00	-4.0145989624e-04
1.5099999905e+00	-4.2779505020e-04
1.5199999809e+00	-4.6437446144e-04
1.5299999714e+00	-4.9672339810e-04
1.5399999619e+00	-5.1501719281e-04
1.5499999523e+00	-5.1641580649e-04
1.5599999428e+00	-5.0112302415e-04
1.5700000525e+00	-4.7609664034e-04
1.5800000429e+00	-4.5036160736e-04
1.5900000334e+00	-4.2151205707e-04
1.6000000238e+00	-3.8098957157e-04
1.6100000143e+00	-3.3157877624e-04
1.6200000048e+00	-2.8583194944e-04
1.6299999952e+00	-2.5393359829e-04
1.6399999857e+00	-2.3987404711e-04
1.6499999762e+00	-2.4039532582e-04
1.6599999666e+00	-2.4636686430e-04
1.6699999571e+00	-2.4706192198e-04
1.6799999475e+00	-2.3690240050e-04
1.6900000572e+00	-2.2198499937e-04
1.7000000477e+00	-2.1160909091e-04
1.7100000381e+00	-2.0378759655e-04
1.7200000286e+00	-1.8988153897e-04
1.7300000191e+00	-1.6787739878e-04
1.7400000095e+00	-1.3980506628e-04
1.7500000000e+00	-1.0666060552e-04
1.7599999905e+00	-7.2329516115e-05
1.7699999809e+00	-3.8949532609e-05
1.7799999714e+00	-9.2375767053e-06
1.7899999619e+00	4.0063077904e-06
1.7999999523e+00	-5.4321394600e-06
1.8099999428e+00	-2.6902227546e-05
1.8200000525e+00	-4.6036166168e-05
1.8300000429e+00	-4.8207417422e-05
1.8400000334e+00	-2.4386617952e-05
1.8500000238e+00	1.6645501091e-05
1.8600000143e+00	5.8570978581e-05
1.8700000048e+00	9.4841016107e-05
1.8799999952e+00	1.2643082300e-04
1.8899999857e+00	1.5383909340e-04
1.8999999762e+00	1.7377012409e-04
1.9099999666e+00	1.8443838053e-04
1.9199999571e+00	1.9288562180e-04
1.9299999475e+00	2.0089269674e-04
1.9400000572e+00	1.9991633599e-04
1.9500000477e+00	1.9364937907e-04
1.9600000381e+00	1.9316347607e-04
1.9700000286e+00	1.9887099916e-04
1.9800000191e+00	2.0739206229e-04
1.9900000095e+00	2.1732521418e-04
2.0000000000e+00	2.2766416078e-04
2.0099999905e+00	2.4320556258e-04
2.0199999809e+00	2.7777918149e-04
2.0299999714e+00	3.3408112358e-04
2.0399999619e+00	3.9216005825e-04
2.0499999523e+00	4.3155904859e-04
2.0599999428e+00	4.4746205094e-04
2.0699999332e+00	4.5108573977e-04
2.0799999237e+00	4.5995789696e-04
2.0899999142e+00	4.7991747851e-04
2.0999999046e+00	5.0400517648e-04
2.1099998951e+00	5.2468350623e-04
2.1199998856e+00	5.4003635887e-04
2.1300001144e+00	5.4969755001e-04
