time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
0.15,0.0158882817268023,-4.5957167260642e-05,-3.44192049299949e-06,-1.53218608035257e-06,1.20625118644835e-07,-2.8484634023696e-05,-170.901546660775
0.16,0.0277923452593805,-4.0765554473605e-05,-3.16313532545981e-06,-1.71093087162388e-06,2.28685774143404e-08,-2.33012430427953e-05,-139.801200775371
0.17,-0.0100619173242524,-3.71567485889313e-05,-2.94790889749478e-06,-1.84333923843916e-06,-1.20889231190145e-07,-1.94730540672846e-05,-116.832066922306
0.18,0.0226606097510124,-3.43429658245283e-05,-2.74739322411001e-06,-1.9252729812351e-06,-3.08054942409882e-07,-1.64123696926103e-05,-98.467960674261
0.19,0.0645408143744353,-3.4044752552887e-05,-2.66983186076592e-06,-1.95903736738434e-06,-5.31403894866203e-07,-1.54677693100277e-05,-92.8003583787652
0.2,0.0802320048521301,-3.95412376445407e-05,-2.92411440815191e-06,-1.95663106558134e-06,-7.78331375975568e-07,-1.9168560985589e-05,-115.004797500776
0.21,-0.0417483890043657,-4.95844970822482e-05,-3.44783380496972e-06,-1.93919488724524e-06,-1.03190857736402e-06,-2.64763229117639e-05,-158.850198667387
0.22,-0.0512561204440204,-5.82070313858366e-05,-3.8909765397614e-06,-1.92878340213219e-06,-1.27505431266443e-06,-3.26657000694277e-05,-195.984953414237
0.23,-0.0147835542863641,-6.27835859596072e-05,-4.10366600205531e-06,-1.94066386888624e-06,-1.49433623769914e-06,-3.56443879685007e-05,-213.856216767034
0.24,-0.0322453679216078,-6.44566612382925e-05,-4.16150030295973e-06,-1.98244207328616e-06,-1.68082183326787e-06,-3.62875100840429e-05,-217.71475610131
0.25,-0.064715345493142,-6.24502710063953e-05,-4.0185893513492e-06,-2.05429561147505e-06,-1.83021267707203e-06,-3.39991195027687e-05,-203.984412613665
0.26,-0.0644890004485693,-5.47142667906885e-05,-3.54582300023602e-06,-2.1468808243792e-06,-1.94356857873857e-06,-2.72236861386148e-05,-163.331812428742
0.27,0.0200319826890151,-4.25699846663418e-05,-2.81494482549663e-06,-2.2421545257434e-06,-2.02657362714821e-06,-1.70687619441442e-05,-102.402267261918
