time_s,u_iso_1_m,f_iso_1_N,z_iso_1_m,u_iso_2_m,f_iso_2_N,z_iso_2_m,u_iso_3_m,f_iso_3_N,z_iso_3_m
0.19,-1.48481761997675e-05,-29.6943666809395,-1.48471310847172e-05,-1.67069555305482e-05,-33.4116250168861,-1.67057523493849e-05,-1.48481761997675e-05,-29.6943666809395,-1.48471310847172e-05
0.2,-1.85276976088883e-05,-37.0533135157061,-1.85266019762196e-05,-2.04502877389904e-05,-40.8981704693633,-2.04490219449812e-05,-1.85276976088883e-05,-37.0533135157061,-1.85266019762196e-05
0.21,-2.57811976175066e-05,-51.5599471595101,-2.57799091567155e-05,-2.78665735002785e-05,-55.7303043483673,-2.78650773675471e-05,-2.57811976175066e-05,-51.5599471595101,-2.57799091567155e-05
0.22,-3.19253913286105e-05,-63.8478586889773,-3.19238523979559e-05,-3.41463175510622e-05,-68.2892360362829,-3.41445285690403e-05,-3.19253913286105e-05,-63.8478586889773,-3.19238523979559e-05
0.23,-3.48848243331169e-05,-69.76645101155,-3.48831413569675e-05,-3.71635152392682e-05,-74.323314743934,-3.71615595894774e-05,-3.48848243331169e-05,-69.7664510115499,-3.48831413569675e-05
0.24,-3.55230752432253e-05,-71.0428916271466,-3.5521360054118e-05,-3.78163797656781e-05,-75.628972847017,-3.78143867739207e-05,-3.55230752432253e-05,-71.0428916271466,-3.5521360054118e-05
0.25,-3.32500190595346e-05,-66.4967792597653,-3.32483038704273e-05,-3.54973203892368e-05,-70.9908540941345,-3.54953273974794e-05,-3.32500190595347e-05,-66.4967792597653,-3.32483038704273e-05
0.26,-2.65286120078572e-05,-53.0539651564103,-2.65268968187498e-05,-2.861383440013e-05,-57.2238821159209,-2.86118414083726e-05,-2.65286120078572e-05,-53.0539651564104,-2.65268968187498e-05
0.27,-1.64599098545484e-05,-32.9165608497927,-1.6458194665441e-05,-1.82864661233358e-05,-36.5691455623324,-1.82844731315783e-05,-1.64599098545483e-05,-32.9165608497927,-1.6458194665441e-05
0.28,-7.01598249189115e-06,-14.0287061244783,-7.01426730278378e-06,-8.59489731252154e-06,-17.1860079407039,-8.5929043207641e-06,-7.01598249189114e-06,-14.0287061244783,-7.01426730278377e-06
0.29,-1.04471711743256e-06,-2.08617537556112,-1.04300192832519e-06,-2.46419422496805e-06,-4.92460176559697,-2.46220123321061e-06,-1.04471711743257e-06,-2.08617537556112,-1.04300192832519e-06
0.3,2.42933862528796e-06,4.86193454946812,2.43105299312596e-06,1.11763838400705e-06,2.23906311110623,1.1196311961608e-06,2.42933862528796e-06,4.86193454946813,2.43105299312596e-06
0.31,7.15922409144026e-06,14.3216870484799,7.16092875754518e-06,6.02558109401347e-06,12.0549349793143,6.02756677363838e-06,7.15922409144026e-06,14.3216870484799,7.16092875754518e-06
0.32,1.56032738633571e-05,31.2096303185218,1.56048962800979e-05,1.48024969149773e-05,29.6086204245727,1.48044056489868e-05,1.56032738633571e-05,31.2096303185218,1.56048962800979e-05
0.33,2.57979453072169e-05,51.598457499811,2.57992962995207e-05,2.54330115202659e-05,50.86912697517,2.54346451700755e-05,2.57979453072169e-05,51.598457499811,2.57992962995207e-05
0.34,3.40739537565746e-05,68.1497440936223,3.40749203778762e-05,3.41388883776531e-05,68.2801095093361,3.4140116142932e-05,3.40739537565745e-05,68.1497440936222,3.40749203778762e-05
0.35,3.93376071646623e-05,78.6764318524193,3.93382479662911e-05,3.97908119147096e-05,79.5832764494922,3.9791681714748e-05,3.93376071646622e-05,78.6764318524192,3.93382479662911e-05
0.36,4.21200375436558e-05,84.2409174434841,4.21204808890097e-05,4.29286214095507e-05,85.8584559512288,4.29292599001441e-05,4.21200375436558e-05,84.2409174434841,4.21204808890098e-05
0.37,4.24112155430324e-05,84.8232336368147,4.24116379381639e-05,4.35290215750263e-05,87.0591698204265,4.35296145594336e-05,4.24112155430325e-05,84.8232336368147,4.24116379381639e-05
0.38,3.91387996002879e-05,78.2784017513257,3.91392219954194e-05,4.04682505995704e-05,80.9376278695148,4.04688435839778e-05,3.91387996002879e-05,78.2784017513256,3.91392219954194e-05
0.39,3.22602755328883e-05,64.5213536165265,3.22606979280198e-05,3.36803006018183e-05,67.3617278740105,3.36808935862256e-05,3.22602755328883e-05,64.5213536165265,3.22606979280198e-05
0.4,2.64734840564344e-05,52.9477706636187,2.64739064515659e-05,2.79894985492618e-05,55.9801237688976,2.79900915336691e-05,2.64734840564344e-05,52.9477706636187,2.64739064515659e-05
0.41,2.77249032194025e-05,55.4505358809496,2.77252871363207e-05,2.95194960521494e-05,59.040017444666,2.95200357049742e-05,2.77249032194025e-05,55.4505358809496,2.77252871363207e-05
0.42,3.59454021383956e-05,71.8907264886029,3.59453611972439e-05,3.82052702960854e-05,76.4106023932621,3.82053028229756e-05,3.59454021383956e-05,71.890726488603,3.59453611972439e-05
0.43,4.58946200088953e-05,91.7875696195546,4.5893740851929e-05,4.86570280670243e-05,97.3122374192891,4.86560708487298e-05,4.58946200088953e-05,91.7875696195547,4.5893740851929e-05
0.44,5.20849970560751e-05,104.167047480476,5.20834461972994e-05,5.52280511540079e-05,110.452760458391,5.52262922857844e-05,5.20849970560751e-05,104.167047480476,5.20834461972994e-05
0.45,5.2316664103386e-05,104.630333387889,5.23150878829213e-05,5.56540735887052e-05,111.304705048391,5.56522619418529e-05,5.2316664103386e-05,104.630333387889,5.23150878829213e-05
0.46,4.94704593487894e-05,98.9379238786958,4.94688831283247e-05,5.29040685427543e-05,105.804694956489,5.2902256895902e-05,4.94704593487894e-05,98.9379238786958,4.94688831283247e-05
0.47,4.75318842341063e-05,95.0607736493295,4.75303080136415e-05,5.10860265130861e-05,102.168610897153,5.10842148662337e-05,4.75318842341063e-05,95.0607736493295,4.75303080136415e-05
0.48,4.8328026310255e-05,96.6529164917166,4.83263757161532e-05,5.20858436438704e-05,104.168039028557,5.20839235074576e-05,4.8328026310255e-05,96.6529164917166,4.83263757161532e-05
0.49,5.14578381031957e-05,102.911910279376,5.14558560363455e-05,5.54953076064191e-05,110.986169003807,5.54929674964029e-05,5.14578381031957e-05,102.911910279376,5.14558560363455e-05
0.5,5.52842679586731e-05,110.563881255943,5.52818181368822e-05,5.96325123756353e-05,119.259460536159,5.96295838413661e-05,5.52842679586731e-05,110.563881255943,5.52818181368822e-05
0.51,5.88488326364101e-05,117.692072504477,5.88458890741242e-05,6.35137108558006e-05,127.020667718842,6.35101561227695e-05,5.88488326364101e-05,117.692072504477,5.88458890741241e-05
0.52,6.1625814821114e-05,123.245235445721,6.16224494545313e-05,6.65985400609114e-05,133.189286398923,6.65944381014905e-05,6.1625814821114e-05,123.245235445721,6.16224494545312e-05
0.53,6.48520546076815e-05,129.696683907973,6.48481465511603e-05,7.01621960689721e-05,140.31526533494,7.01573924884435e-05,6.48520546076815e-05,129.696683907973,6.48481465511604e-05
0.54,6.87397347302446e-05,137.470648231097,6.87350919779327e-05,7.44222555534908e-05,148.833591355404,7.44165083158184e-05,6.87397347302446e-05,137.470648231097,6.87350919779327e-05
0.55,7.0520233193398e-05,141.030972302957,7.05152363071669e-05,7.65189231901161e-05,153.025993782407,7.65126849807345e-05,7.05202331933979e-05,141.030972302957,7.05152363071669e-05
0.56,7.08071793697444e-05,141.604755333889,7.08021249457445e-05,7.70761014331248e-05,154.140098746744,7.70697308439112e-05,7.08071793697443e-05,141.604755333889,7.08021249457444e-05
0.57,7.26835775278691e-05,145.356798388173,7.26781266502032e-05,7.92643885749456e-05,158.515628314279,7.92574681351497e-05,7.26835775278691e-05,145.356798388173,7.26781266502032e-05
0.58,7.79370920447237e-05,155.861402616156,7.79303649535176e-05,8.49229543650515e-05,169.82965903083,8.49144018917497e-05,7.79370920447237e-05,155.861402616156,7.79303649535176e-05
0.59,8.70222172228488e-05,174.026425278101,8.70127387135872e-05,9.45219014718354e-05,189.021037080847,9.45099194387701e-05,8.70222172228488e-05,174.026425278101,8.70127387135872e-05
0.6,9.78076120093617e-05,195.589375608147,9.77940075827428e-05,0.000105868271131281,211.704114508966,0.000105851203892546,9.78076120093617e-05,195.589375608147,9.77940075827428e-05
0.61,0.00010672661813231,213.419669374495,0.000106708951348034,0.000115287322517044,230.532706469573,0.000115265249588352,0.00010672661813231,213.419669374495,0.000106708951348034
0.62,0.000111570914139873,223.10368007704,0.000111550836138449,0.000120499277104202,240.950866513469,0.000120474178317394,0.000111570914139873,223.10368007704,0.000111550836138449
0.63,0.000112703065980367,225.366891235136,0.000112682412966894,0.000121869598058858,243.689962307241,0.000121843685527029,0.000112703065980367,225.366891235136,0.000112682412966894
0.64,0.00011258006201461,225.120883303622,0.000112559409001137,0.000121921350549244,243.79340884676,0.000121895407258861,0.00011258006201461,225.120883303622,0.000112559409001137
0.65,0.00011471558682522,229.389797923394,0.000114693810126775,0.000124270798645264,248.48954874102,0.000124243404671839,0.00011471558682522,229.389797923394,0.000114693810126775
0.66,0.000120050379020076,240.053541432207,0.000120025528173789,0.000129887620725775,259.71599458067,0.000129856438162154,0.000120050379020077,240.053541432208,0.000120025528173789
0.67,0.000125045859246894,250.038568055385,0.000125017885331945,0.000135125626961489,270.184742146125,0.000135090620763145,0.000125045859246894,250.038568055385,0.000125017885331945
0.68,0.000126605928479652,253.156806900826,0.000126576954764664,0.000136792718025296,273.516554708629,0.000136756464687421,0.000126605928479652,253.156806900827,0.000126576954764664
0.69,0.000123646903254809,247.238756451142,0.000123617929539822,0.000133767335856084,267.465790370206,0.000133731082518209,0.000123646903254809,247.238756451142,0.000123617929539822
0.7,0.000115277144801905,230.499239545332,0.000115248171086917,0.000125120508413442,250.172135484922,0.000125084255075567,0.000115277144801905,230.499239545332,0.000115248171086917
0.71,0.000104109363770653,208.16367748283,0.000104080390055666,0.00011353442510814,226.999968874318,0.000113498171770265,0.000104109363770653,208.16367748283,0.000104080390055666
0.72,9.51334075839929e-05,190.211765109509,9.5104433869005e-05,0.000104147294863912,208.225708385861,0.000104111041526037,9.51334075839928e-05,190.211765109509,9.5104433869005e-05
0.73,9.14206810587912e-05,182.786312059106,9.13917073438034e-05,0.000100129557428309,200.190233514656,0.000100093304090434,9.14206810587912e-05,182.786312059106,9.13917073438034e-05
0.74,9.44467976833558e-05,188.836495103174,9.4416744913073e-05,0.000103018598696988,205.965987518151,0.000102981119814975,9.44467976833557e-05,188.836495103174,9.4416744913073e-05
0.75,0.000100760393287634,201.458817882488,0.000100727778186171,0.000109279129082184,218.481370522893,0.00010923866190246,0.000100760393287634,201.458817882488,0.000100727778186171
0.76,0.000103018287670444,205.972786684284,0.000102984714693284,0.000111359311028114,222.639775370512,0.000111317812772474,0.000103018287670444,205.972786684284,0.000102984714693284
0.77,9.92739004317648e-05,198.484012206925,9.92403274546046e-05,0.000107261854671178,214.444862656639,0.000107220356415538,9.92739004317647e-05,198.484012206925,9.92403274546045e-05
0.78,9.36203469233571e-05,187.17690519011,9.3586773946197e-05,0.000101210346367414,202.341846049112,0.000101168848111774,9.36203469233571e-05,187.17690519011,9.35867739461969e-05
0.79,9.11574551991993e-05,182.251121741794,9.11238822220392e-05,9.84667914858751e-05,196.854736286034,9.84252932302349e-05,9.11574551991993e-05,182.251121741794,9.11238822220391e-05
0.8,9.55712206679795e-05,191.075591017084,9.55360362896241e-05,0.000102841590681843,205.60082115254,0.000102798243202293,9.55712206679795e-05,191.075591017084,9.55360362896241e-05
0.81,0.000106345043103065,212.613982713961,0.000106304988633502,0.000113818170750187,227.543183630585,0.000113769140292403,0.000106345043103065,212.613982713961,0.000106304988633502
0.82,0.000120682272970873,241.272585582728,0.000120633872781916,0.000128530971257403,256.950329075848,0.000128472227342162,0.000120682272970873,241.272585582728,0.000120633872781916
0.83,0.00013925511943437,278.390930694392,0.000139192325658397,0.000147691703152927,295.240061113782,0.000147616258314994,0.00013925511943437,278.390930694392,0.000139192325658397
0.84,0.000165110324726991,330.047831716018,0.000165019368022799,0.000174463507938466,348.721817427799,0.000174355508754712,0.00016511032472699,330.047831716017,0.000165019368022799
0.85,0.000196628539314943,392.991780160875,0.000196488908541779,0.000207199611010276,414.087381121747,0.000207035484221431,0.000196628539314943,392.991780160874,0.000196488908541779
0.86,0.000228681782176701,456.971102010672,0.000228475223048948,0.000240629623237791,480.800588537509,0.000240388224323016,0.000228681782176701,456.971102010672,0.000228475223048948
0.87,0.000260831992902336,521.105664103189,0.00026053813937524,0.000274310326355485,547.96986540751,0.000273967806722085,0.000260831992902336,521.105664103189,0.00026053813937524
0.88,0.000295842696087041,590.894842999912,0.00029542661757432,0.00031109421530217,621.267930667657,0.000310609741651284,0.000295842696087041,590.894842999912,0.00029542661757432
0.89,0.000333863796524439,666.616081949305,0.000333278790682558,0.000351135391668683,700.976531991716,0.00035045420674992,0.000333863796524439,666.616081949305,0.000333278790682558
0.9,0.000370288857229116,739.088236079416,0.000369504921240266,0.000389676293348096,777.615641822878,0.000388762111835826,0.000370288857229116,739.088236079417,0.000369504921240266
0.91,0.000398945525506947,796.056618171379,0.000397980034537202,0.000420330529123839,838.51471291162,0.000419200873683808,0.000398945525506948,796.056618171379,0.000397980034537202
0.92,0.000419625064896428,837.140416219284,0.00041851468933139,0.000442846694952359,883.213425456595,0.000441541450505978,0.000419625064896429,837.140416219284,0.00041851468933139
0.93,0.00043575293569191,869.164732076771,0.000434520757109252,0.000460713668142813,918.660968947162,0.000459257685333095,0.00043575293569191,869.16473207677,0.000434520757109252
0.94,0.000449228469890407,895.910353984419,0.000447888161576515,0.000475846827572564,948.668605667169,0.000474254696268375,0.000449228469890407,895.910353984418,0.000447888161576515
0.95,0.000461485118029419,920.226508578162,0.000460041050934326,0.000489686769077233,976.098038533786,0.000487962821908454,0.000461485118029419,920.226508578162,0.000460041050934326
