# time ux F_h z
1.000000000000e-02	2.284479712911e-07	4.568959416761e-01	2.284479708142e-07
2.000000000000e-02	7.108248334003e-07	1.421649647371e+00	7.108248231742e-07
3.000000000000e-02	1.249909605596e-06	2.499819127755e+00	1.249909561682e-06
4.000000000000e-02	1.809285694960e-06	3.618571167318e+00	1.809285577801e-06
5.000000000000e-02	1.580488474742e-06	3.160976726881e+00	1.580488357583e-06
6.000000000000e-02	-7.146548816578e-07	-1.429309896831e+00	-7.146549519288e-07
7.000000000000e-02	-5.370679557143e-06	-1.074134904107e+01	-5.370674255452e-06
8.000000000000e-02	-1.123565176143e-05	-2.247123718010e+01	-1.123561684419e-05
9.000000000000e-02	-1.702365274746e-05	-3.404711167203e+01	-1.702355073541e-05
1.000000000000e-01	-2.205522775581e-05	-4.411007568024e+01	-2.205502784456e-05
1.100000000000e-01	-2.617060754667e-05	-5.234062105148e+01	-2.617029489306e-05
1.200000000000e-01	-2.954178038149e-05	-5.908274312961e+01	-2.954135004814e-05
1.300000000000e-01	-3.087730918848e-05	-6.175370397549e+01	-3.087682792455e-05
1.400000000000e-01	-2.858885765414e-05	-5.717680090682e+01	-2.858837639021e-05
1.500000000000e-01	-2.316215040463e-05	-4.632338640780e+01	-2.316166914070e-05
1.600000000000e-01	-1.651579901847e-05	-3.303068363547e+01	-1.651531775454e-05
1.700000000000e-01	-1.075720512881e-05	-2.151349585615e+01	-1.075672386488e-05
1.800000000000e-01	-6.367608691167e-06	-1.273430298087e+01	-6.367127427238e-06
1.900000000000e-01	-2.766555348571e-06	-5.532196295676e+00	-2.766074084642e-06
2.000000000000e-01	-1.288365931886e-06	-2.575817462308e+00	-1.287884667957e-06
2.100000000000e-01	-4.433363601638e-06	-8.865808104970e+00	-4.432879865687e-06
2.200000000000e-01	-1.116844563021e-05	-2.233590832082e+01	-1.116792829358e-05
2.300000000000e-01	-1.681130240056e-05	-3.362150066635e+01	-1.681072127700e-05
2.400000000000e-01	-1.928720378015e-05	-3.857323343203e+01	-1.928658581790e-05
2.500000000000e-01	-1.946001747272e-05	-3.891885584381e+01	-1.945939689292e-05
