0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
9.999999776483e-03	1.106760372238e-08	6.422469500666e-11	1.712359204084e-12	3.691155793018e-14	5.533801913261e-01	1.573505066335e-02	3.339100512676e-04	3.617332822614e-06
1.999999955297e-02	1.341237378938e-07	1.003801486377e-09	3.284954600002e-11	8.413386090242e-13	6.706186771393e+00	2.459313571453e-01	6.405661813915e-03	8.245118078776e-05
2.999999932945e-02	2.904565405970e-07	4.801881559047e-09	2.337671167751e-10	7.834659136730e-12	1.452282810211e+01	1.176460981369e+00	4.558458551764e-02	7.677965913899e-04
3.999999910593e-02	-6.000891517033e-07	7.552001690669e-09	8.357378677992e-10	4.112046120275e-11	-3.000445938110e+01	1.850240468979e+00	1.629688888788e-01	4.029805306345e-03
5.000000074506e-02	-4.120563971810e-06	-1.995200094029e-08	1.201676980145e-09	1.301395657904e-10	-2.060281982422e+02	-4.888240337372e+00	2.343270182610e-01	1.275367755443e-02
5.999999865890e-02	-1.058073667082e-05	-1.478514519704e-07	-3.341968035642e-09	1.894744500186e-10	-5.290368041992e+02	-3.622360610962e+01	-6.516837477684e-01	1.856849715114e-02
7.000000029802e-02	-1.842350502557e-05	-4.731677165637e-07	-2.704767965156e-08	-4.609345682915e-10	-9.211752319336e+02	-1.159260864258e+02	-5.274297714233e+00	-4.517158865929e-02
7.999999821186e-02	-2.599119761726e-05	-1.077803631233e-06	-9.930710831441e-08	-4.248851048771e-09	-1.299559814453e+03	-2.640618896484e+02	-1.936488723755e+01	-4.163874089718e-01
9.000000357628e-02	-3.232184099033e-05	-1.988348913073e-06	-2.662211500137e-07	-1.737097754528e-08	-1.616092041016e+03	-4.871454772949e+02	-5.191312408447e+01	-1.702355861664e+00
1.000000014901e-01	-3.723300324054e-05	-3.160330152241e-06	-5.851897526554e-07	-5.249346202163e-08	-1.861650024414e+03	-7.742808837891e+02	-1.141119995117e+02	-5.144359111786e+00
1.099999994040e-01	-4.092840754311e-05	-4.489134425967e-06	-1.112538711823e-06	-1.314218422976e-07	-2.046420410156e+03	-1.099837890625e+03	-2.169450531006e+02	-1.287934017181e+01
